Date,Unix Time,Input During Interval (GB),Input Average (GB),Output During Interval (GB),Output Average (GB)
2024-02-20,378.241671136,378.25190252,378.241671136,378.25190252
2024-02-21,407.557676088,407.560591144,407.557676088,407.560591144
2024-02-22,442.697473888,442.70577788,442.697473888,442.70577788
2024-02-23,436.765335792,436.766868144,436.765335792,436.766868144
2024-02-24,395.395622328,395.401226392,395.395622328,395.401226392
2024-02-25,385.53062376,385.53241808,385.53062376,385.53241808
2024-02-26,404.179217192,404.179637864,404.179217192,404.179637864
2024-02-27,384.04315612,384.047855256,384.04315612,384.047855256
2024-02-28,366.24914924,366.25757472,366.24914924,366.25757472
2024-02-29,438.889958584,438.89856004,438.889958584,438.89856004
2024-03-01,402.876053664,402.878174936,402.876053664,402.878174936
2024-03-02,424.061176744,424.053856448,424.061176744,424.053856448
2024-03-03,391.628225264,391.632819832,391.628225264,391.632819832
2024-03-04,403.249793728,403.25449932,403.249793728,403.25449932
2024-03-05,375.662637856,375.665660512,375.662637856,375.665660512
2024-03-06,397.929816336,397.931349952,397.929816336,397.931349952
2024-03-07,399.917229912,399.919503688,399.917229912,399.919503688
2024-03-08,398.102213056,398.105842816,398.102213056,398.105842816
2024-03-09,459.6866916,459.6874744,459.6866916,459.6874744
2024-03-10,440.639178088,440.640958968,440.639178088,440.640958968
2024-03-11,435.803307752,435.805680864,435.803307752,435.805680864
2024-03-12,383.453967872,383.454799056,383.453967872,383.454799056
2024-03-13,402.315661088,402.31909716,402.315661088,402.31909716
2024-03-14,420.844421776,420.84706332,420.844421776,420.84706332
2024-03-15,437.99921492,438.000301696,437.99921492,438.000301696
2024-03-16,389.431083944,389.433384184,389.431083944,389.433384184
2024-03-17,373.2415686,373.242044984,373.2415686,373.242044984
2024-03-18,358.701188288,358.703247728,358.701188288,358.703247728
2024-03-19,330.19607832,330.198706528,330.19607832,330.198706528
2024-03-20,431.974665056,431.9767832,431.974665056,431.9767832
2024-03-21,413.258303904,413.262076744,413.258303904,413.262076744
2024-03-22,418.910356984,418.913586352,418.910356984,418.913586352
2024-03-23,405.031325344,405.033839056,405.031325344,405.033839056
2024-03-24,373.064648024,373.066440904,373.064648024,373.066440904
2024-03-25,364.89554788,364.895229168,364.89554788,364.895229168
2024-03-26,367.027093672,367.03088224,367.027093672,367.03088224
2024-03-27,457.923484192,457.914019264,457.923484192,457.914019264
2024-03-28,401.405061312,401.410427864,401.405061312,401.410427864
2024-03-29,402.313059768,402.312721608,402.313059768,402.312721608
2024-03-30,400.93469648,400.939024736,400.93469648,400.939024736
2024-03-31,392.886993552,392.89203572,392.886993552,392.89203572
2024-04-01,401.75446248,401.744087528,401.75446248,401.744087528
2024-04-02,363.58463872,363.589729272,363.58463872,363.589729272
2024-04-03,389.763308848,389.769021472,389.763308848,389.769021472
2024-04-04,444.101206672,444.109387864,444.101206672,444.109387864
2024-04-05,412.910439048,412.915247992,412.910439048,412.915247992
2024-04-06,403.100706648,402.804856632,403.100706648,402.804856632
2024-04-07,388.200743464,388.205065704,388.200743464,388.205065704
2024-04-08,437.460730376,437.420872672,437.460730376,437.420872672
2024-04-09,378.925336,378.930612296,378.925336,378.930612296
2024-04-10,449.2651006,449.269094384,449.2651006,449.269094384
2024-04-11,419.072074896,419.07828924,419.072074896,419.07828924
2024-04-12,429.852012048,429.85844432,429.852012048,429.85844432
2024-04-13,405.08310508,405.088173488,405.08310508,405.088173488
2024-04-14,387.269489328,387.272458496,387.269489328,387.272458496
2024-04-15,402.33187228,402.335728472,402.33187228,402.335728472
2024-04-16,379.511706024,379.51793976,379.511706024,379.51793976
2024-04-17,399.907459952,399.910368952,399.907459952,399.910368952
2024-04-18,427.908614744,427.913909488,427.908614744,427.913909488
2024-04-19,429.933593104,429.942067872,429.933593104,429.942067872
2024-04-20,414.860981144,414.8703128,414.860981144,414.8703128
2024-04-21,389.971121512,389.969376272,389.971121512,389.969376272
2024-04-22,425.984175696,425.987338264,425.984175696,425.987338264
2024-04-23,386.342679544,386.349766376,386.342679544,386.349766376
2024-04-24,440.01111756,440.015241648,440.01111756,440.015241648
2024-04-25,456.62518396,456.632184816,456.62518396,456.632184816
2024-04-26,412.478794608,412.487746072,412.478794608,412.487746072
2024-04-27,404.141894776,404.14729688,404.141894776,404.14729688
2024-04-28,375.069336904,375.07375704,375.069336904,375.07375704
2024-04-29,397.207966344,397.210733808,397.207966344,397.210733808
2024-04-30,382.729382128,382.73515996,382.729382128,382.73515996
2024-05-01,414.65258364,414.65652044,414.65258364,414.65652044
2024-05-02,394.297595648,394.307936904,394.297595648,394.307936904
2024-05-03,392.86837396,392.873234968,392.86837396,392.873234968
2024-05-04,348.206327736,348.212095904,348.206327736,348.212095904
2024-05-05,325.928179016,325.93021132,325.928179016,325.93021132
2024-05-06,287.217146656,287.22460596,287.217146656,287.22460596
2024-05-07,308.800874448,308.807009736,308.800874448,308.807009736
2024-05-08,374.871224136,374.84060072,374.871224136,374.84060072
2024-05-09,417.370418056,417.376544792,417.370418056,417.376544792
2024-05-10,418.124878712,418.123440976,418.124878712,418.123440976
2024-05-11,407.5978402,407.601224232,407.5978402,407.601224232
2024-05-12,303.244089256,303.248083728,303.244089256,303.248083728
2024-05-13,314.58231908,314.584731312,314.58231908,314.584731312
2024-05-14,315.777337152,315.782314088,315.777337152,315.782314088
2024-05-15,343.741018184,343.744325784,343.741018184,343.744325784
2024-05-16,388.821387288,388.827529008,388.821387288,388.827529008
2024-05-17,405.878315664,405.888597976,405.878315664,405.888597976
